brand,title,rating,rating_count,price,recent_sales,unit_price
--,"Disposable Toothbrushes with Toothpaste,300 Pack Yellow Hollow Individually Wrapped Disposable Travel Toothbrushes Kit in Bulk for Homeless,Nursing Home,Hotel,Charity",4.3,132,$50.99,200,$0.17
--,"EUTHYMOL Original Toothpaste (3.7fl oz, Pack of 5) - Fluoride-Free Toothpaste for Sensitive Teeth & Gum. Bad Breath, Cavity Prevention, 12-Hour Long Lasting Freshness with Wintergreen.",4.3,471,$45.00,1000,$2.43
--,"EUTHYMOL Original Toothpaste (3.7fl oz, Pack of 5) - Fluoride-Free Toothpaste for Sensitive Teeth & Gum. Bad Breath, Cavity Prevention, 12-Hour Long Lasting Freshness with Wintergreen.",4.3,471,$45.00,1000,$2.43
--,Handheld Stainless Steel Toothpaste Squeezer 5 Piece Tube Roller Set Ergonomic Labor Saving Cream Extractor Homeware,na,na,$9.89,0,$9.89
--,"Jordan Green Clean Manual Toothbrush - Sustainable, Eco-Friendly Scandinavian Design, Soft Bristles, Mixed Colors, 4 Units",4.6,1540,$9.90,2000,$2.48
--,"Jordan Green Clean Manual Toothbrush - Sustainable, Eco-Friendly Scandinavian Design, Soft Bristles, Mixed Colors, 4 Units",4.6,1540,$9.90,2000,$2.48
--,"Parodontax Active Gum Repair Breath Freshener Toothpaste, 3x3.4 oz",4.7,923,$20.97,10000,$2.06
--,"Sonic Electric Toothbrush for Adults, Rechargeable Toothbrush with 6 Mode & 3 Intensity, 40000VPM Toothbrush with 6 Brush Heads, Travel Case, 60 Days Battery Life, Wireless Charging, 2-Min Smart Timer",4.5,986,$53.99,100,$53.99
--,"Toothpaste Tablets (Mint, 180 Count) with Fluoride, Teeth Whitening Eco Friendly Travel Toothpaste Bites, Sensitive Teeth - Dentist Recommended for Adult, Kids Oral Care",3.6,51,$28.99,0,$0.16
--,"XyloBurst Fresh Breath Oral Rinse Mouth Wash with Natural Xylitol - Alcohol-Free, Fluoride Free, SLS Free Cool Mint (3 Pack 16 Ounce)",4.6,198,$28.99,600,$0.60
Arm & Hammer,"Arm & Hammer Advance White Toothpaste, Clean Mint Flavor, Stain Defense Technology, 6 Ounce (Pack of 4)",4.7,5922,$13.96,20000,$0.58
Arm & Hammer,"Arm & Hammer Advance White Toothpaste, Clean Mint Flavor, Stain Defense Technology, 6 Ounce (Pack of 4)",4.7,5922,$13.96,20000,$0.58
Arm & Hammer,"Arm & Hammer Advance White Toothpaste, Clean Mint Flavor, Stain Defense Technology, 6 Ounce (Pack of 4)",4.7,5922,$13.96,20000,$0.58
Arm & Hammer,"Arm & Hammer Advance White Toothpaste, Clean Mint Flavor, Stain Defense Technology, 6 Ounce (Pack of 4)",4.7,5922,$13.96,20000,$0.58
Arm & Hammer,"Arm & Hammer Advance White Toothpaste, Clean Mint Flavor, Stain Defense Technology, 6 Ounce (Pack of 4)",4.7,5922,$13.96,20000,$0.58
Arm & Hammer,"Arm & Hammer Peroxicare Toothpaste, Clean Mint Flavor, Improves Gum Health, 6.0oz (4-Pack)",4.7,18341,$13.40,10000,$0.56
Arm & Hammer,"Arm & Hammer Peroxicare Toothpaste, Clean Mint Flavor, Improves Gum Health, 6.0oz (4-Pack)",4.7,18341,$13.40,10000,$0.56
Arm & Hammer,"Arm & Hammer Peroxicare Toothpaste, Clean Mint Flavor, Improves Gum Health, 6.0oz (4-Pack)",4.7,18341,$13.40,10000,$0.56
Arm & Hammer,"Arm & Hammer Peroxicare Toothpaste, Clean Mint Flavor, Improves Gum Health, 6.0oz (4-Pack)",4.7,18341,$13.40,10000,$0.56
